title,units,description,prereqs,coreqs,grading_type,note,combined
CMPE 258 - Deep Learning,3 unit(s),"Deep neural networks and their applications to various problems, e.g., speech recognition, image segmentation, and natural language processing. Covers underlying theory, the range of applications to which it has been applied, and learning from very large data sets.",CMPE 255 or CMPE 257 or instructor consent. Artificial Intelligence or Computer Engineering or Software Engineering majors only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 258 - Deep Learning; description: Deep neural networks and their applications to various problems, e.g., speech recognition, image segmentation, and natural language processing. Covers underlying theory, the range of applications to which it has been applied, and learning from very large data sets.; units: 3 unit(s); prereqs: CMPE 255 or CMPE 257 or instructor consent. Artificial Intelligence or Computer Engineering or Software Engineering majors only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 259 - Natural Language Processing,3 unit(s),"Theory, design, and implementation of Natural Language Processing (NLP) systems. Topics include language representation and modeling, sequence modeling, Hidden Markov Models, probabilistic context-free grammars, Bayesian networks, Conditional Random Fields, and deep learning architectures for sequence processing.","CMPE 252 or CMPE 255 or CMPE 257 , or instructor consent. Artificial Intelligence, Computer Engineering, and Software Engineering Masters students only.",No corequisites,Letter graded.,No additional notes,"Title: CMPE 259 - Natural Language Processing; description: Theory, design, and implementation of Natural Language Processing (NLP) systems. Topics include language representation and modeling, sequence modeling, Hidden Markov Models, probabilistic context-free grammars, Bayesian networks, Conditional Random Fields, and deep learning architectures for sequence processing.; units: 3 unit(s); prereqs: CMPE 252 or CMPE 255 or CMPE 257 , or instructor consent. Artificial Intelligence, Computer Engineering, and Software Engineering Masters students only.; coreqs: No corequisites; grading_type: Letter graded."
CMPE 260 - Reinforcement Learning,3 unit(s),"Reinforcement Learning (RL) and Deep Reinforcement Learning (DRL). Topics include RL formalism, Markov decision process, Deep Q-Network, and reinforcement learning programming platforms. Also covered are relevant applications of RL in various fields.",CMPE 252 or CMPE 255 or CMPE 257 or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 260 - Reinforcement Learning; description: Reinforcement Learning (RL) and Deep Reinforcement Learning (DRL). Topics include RL formalism, Markov decision process, Deep Q-Network, and reinforcement learning programming platforms. Also covered are relevant applications of RL in various fields.; units: 3 unit(s); prereqs: CMPE 252 or CMPE 255 or CMPE 257 or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 264 - Advanced Digital and Computing System Design,3 unit(s),"Advanced topics in register-transfer-level design of complex digital functional blocks, application-specific instruction set processors, and system-level integration/validation using Verilog/VHDL/C-level hardware description languages.",CMPE 200 or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 264 - Advanced Digital and Computing System Design; description: Advanced topics in register-transfer-level design of complex digital functional blocks, application-specific instruction set processors, and system-level integration/validation using Verilog/VHDL/C-level hardware description languages.; units: 3 unit(s); prereqs: CMPE 200 or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 265 - High Speed Digital System Design,3 unit(s),Introduction to high speed interface design techniques and analyzing high speed circuits utilizing latest modeling and simulation tools to provide necessary knowledge for the printed circuit board layout.,CMPE 200 or instructor consent.,No corequisites,Letter Graded,No additional notes,Title: CMPE 265 - High Speed Digital System Design; description: Introduction to high speed interface design techniques and analyzing high speed circuits utilizing latest modeling and simulation tools to provide necessary knowledge for the printed circuit board layout.; units: 3 unit(s); prereqs: CMPE 200 or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded
CMPE 266 - Big Data Engineering and Analytics,3 unit(s),"New big data related technologies, architecture, tool, algorithms and analytics to manage and extract values and hidden knowledge from data whose scale, diversity, speed and complexity are big.",CMPE 272 or Instructor Consent,No corequisites,Letter Graded,No additional notes,"Title: CMPE 266 - Big Data Engineering and Analytics; description: New big data related technologies, architecture, tool, algorithms and analytics to manage and extract values and hidden knowledge from data whose scale, diversity, speed and complexity are big.; units: 3 unit(s); prereqs: CMPE 272 or Instructor Consent; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 270 - Information Engineering,3 unit(s),"Technologies, strategies and systems for planning, analyzing, designing and implementing data resources in order to ensure and continuously improve processes in the enterprise; object-oriented development, Computer-Aided Software/Systems Engineering (CASE); information superhighway, client/server computing and distributed database management systems. Satisfies GWAR: Graduation Writing Assessment Requirement.",CMPE 30 or instructor consent. Allowed Declared Majors: Any Engineering.,No corequisites,Letter Graded,This course satisfies graduate-level GWAR in this masters program. Cross-listed with ISE 270 . Industrial and Systems Engineering is responsible for scheduling.,"Title: CMPE 270 - Information Engineering; description: Technologies, strategies and systems for planning, analyzing, designing and implementing data resources in order to ensure and continuously improve processes in the enterprise; object-oriented development, Computer-Aided Software/Systems Engineering (CASE); information superhighway, client/server computing and distributed database management systems. Satisfies GWAR: Graduation Writing Assessment Requirement.; units: 3 unit(s); prereqs: CMPE 30 or instructor consent. Allowed Declared Majors: Any Engineering.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 272 - Enterprise Software Platforms,3 unit(s),"Enterprise software, system and virtualized platforms. OSs, NOS, security, databases (OLTP, big data, analytics), transactions, groupware, components, web services, web, systems management, and app development. Standards and emerging technologies.",Artificial Intelligence or Computer Engineering or Software Engineering majors or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 272 - Enterprise Software Platforms; description: Enterprise software, system and virtualized platforms. OSs, NOS, security, databases (OLTP, big data, analytics), transactions, groupware, components, web services, web, systems management, and app development. Standards and emerging technologies.; units: 3 unit(s); prereqs: Artificial Intelligence or Computer Engineering or Software Engineering majors or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 273 - Enterprise Distributed Systems,3 unit(s),"Introduction to application protocols for large scale distributed systems including object request brokers, asynchronous messaging, and Web services. Lab is based on using protocols to build distributed systems.",Java programming or instructor consent. Artificial Intelligence or Computer Engineering or Software Engineering majors only.,CMPE 272,Letter Graded,No additional notes,"Title: CMPE 273 - Enterprise Distributed Systems; description: Introduction to application protocols for large scale distributed systems including object request brokers, asynchronous messaging, and Web services. Lab is based on using protocols to build distributed systems.; units: 3 unit(s); prereqs: Java programming or instructor consent. Artificial Intelligence or Computer Engineering or Software Engineering majors only.; coreqs: CMPE 272; grading_type: Letter Graded"
CMPE 274 - Business Intelligence Technologies,3 unit(s),This course covers technologies that are key to delivering business intelligence to an enterprise. The goal of business intelligence is to analyze and mine business data to understand and improve business performance by transforming business data into information into knowledge.,CMPE 272 or instructor consent. Computer Engineering and Software Engineering majors only.,No corequisites,Letter Graded,No additional notes,Title: CMPE 274 - Business Intelligence Technologies; description: This course covers technologies that are key to delivering business intelligence to an enterprise. The goal of business intelligence is to analyze and mine business data to understand and improve business performance by transforming business data into information into knowledge.; units: 3 unit(s); prereqs: CMPE 272 or instructor consent. Computer Engineering and Software Engineering majors only.; coreqs: No corequisites; grading_type: Letter Graded
CMPE 275 - Enterprise Application Development,3 unit(s),"Distributed component design, scalability, messaging, and integration practices for modern and emerging architectures and technologies.",CMPE 273 or instructor consent. Computer Engineering and Software Engineering majors only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 275 - Enterprise Application Development; description: Distributed component design, scalability, messaging, and integration practices for modern and emerging architectures and technologies.; units: 3 unit(s); prereqs: CMPE 273 or instructor consent. Computer Engineering and Software Engineering majors only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 277 - Smartphone Application Development,3 unit(s),"Architectures, technologies, and programming concepts for developing smartphone applications. Covers current smartphone/tablet OSs, application development, and deployment environments.",Classified graduate standing or instructor consent. Computer Engineering and Software Engineering majors only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 277 - Smartphone Application Development; description: Architectures, technologies, and programming concepts for developing smartphone applications. Covers current smartphone/tablet OSs, application development, and deployment environments.; units: 3 unit(s); prereqs: Classified graduate standing or instructor consent. Computer Engineering and Software Engineering majors only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 279 - Software Security Technologies,3 unit(s),"Fundamental concepts, methods, and tools used to design and implement software security technologies for constructing trustworthy centralized, distributed, or enterprise-wide software systems.",No prerequisites,CMPE 272 or CMPE 220 or instructor consent.,Letter Graded,No additional notes,"Title: CMPE 279 - Software Security Technologies; description: Fundamental concepts, methods, and tools used to design and implement software security technologies for constructing trustworthy centralized, distributed, or enterprise-wide software systems.; units: 3 unit(s); prereqs: No prerequisites; coreqs: CMPE 272 or CMPE 220 or instructor consent.; grading_type: Letter Graded"
CMPE 280 - Web UI Design and Development,3 unit(s),"Web User-interface (UI) design and development with contemporary web standards. Understand interaction and interface design principles and processes for rich web applications, mobile web, web graphics, web design fundamentals, tools, interaction using client side scripting and server side frameworks.",Classified graduate standing or instructor consent. Computer Engineering and Software Engineering majors only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 280 - Web UI Design and Development; description: Web User-interface (UI) design and development with contemporary web standards. Understand interaction and interface design principles and processes for rich web applications, mobile web, web graphics, web design fundamentals, tools, interaction using client side scripting and server side frameworks.; units: 3 unit(s); prereqs: Classified graduate standing or instructor consent. Computer Engineering and Software Engineering majors only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 281 - Cloud Technologies,3 unit(s),"Cloud computing concepts, evolution, architectures, infrastructures, opportunities, risks, enterprise adoption strategies, standards and policies, Software-as-a-Service (SaaS), Platform-as-a-Service (PaaS), Infrastructure-as-a-Service (IaaS), modern cloud computing technologies and tools, case studies and team projects.",No prerequisites,CMPE 272 or instructor consent. Computer Engineering and Software Engineering majors only.,Letter Graded,No additional notes,"Title: CMPE 281 - Cloud Technologies; description: Cloud computing concepts, evolution, architectures, infrastructures, opportunities, risks, enterprise adoption strategies, standards and policies, Software-as-a-Service (SaaS), Platform-as-a-Service (PaaS), Infrastructure-as-a-Service (IaaS), modern cloud computing technologies and tools, case studies and team projects.; units: 3 unit(s); prereqs: No prerequisites; coreqs: CMPE 272 or instructor consent. Computer Engineering and Software Engineering majors only.; grading_type: Letter Graded"
CMPE 282 - Cloud Services,3 unit(s),"Cloud service architecture and layering, administrative issues, resiliency and security considerations; business development, operations and business support service, case studies and team projects.",CMPE 281 or instructor consent. Computer Engineering and Software Engineering majors only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 282 - Cloud Services; description: Cloud service architecture and layering, administrative issues, resiliency and security considerations; business development, operations and business support service, case studies and team projects.; units: 3 unit(s); prereqs: CMPE 281 or instructor consent. Computer Engineering and Software Engineering majors only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 283 - Virtualization Technologies,3 unit(s),"Virtualization concepts, components and infrastructure, hardware and software virtualization, virtualization machine life cycle management, virtualization services, case studies, and team projects.",No prerequisites,CMPE 272 or instructor consent. Computer Engineering and Software Engineering majors only.,Letter Graded,No additional notes,"Title: CMPE 283 - Virtualization Technologies; description: Virtualization concepts, components and infrastructure, hardware and software virtualization, virtualization machine life cycle management, virtualization services, case studies, and team projects.; units: 3 unit(s); prereqs: No prerequisites; coreqs: CMPE 272 or instructor consent. Computer Engineering and Software Engineering majors only.; grading_type: Letter Graded"
CMPE 284 - Storage and Network Virtualization,3 unit(s),"Network and storage technologies, network virtualization and storage virtualization, including virtual local area networks, load balancers, firewalls, virtual private networks, network attached storage and storage area networks, case studies, and team projects.",CMPE 283 or instructor consent. Computer Engineering and Software Engineering majors only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 284 - Storage and Network Virtualization; description: Network and storage technologies, network virtualization and storage virtualization, including virtual local area networks, load balancers, firewalls, virtual private networks, network attached storage and storage area networks, case studies, and team projects.; units: 3 unit(s); prereqs: CMPE 283 or instructor consent. Computer Engineering and Software Engineering majors only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 285 - Software Engineering Processes,3 unit(s),"Software system development with emerging software engineering processes and technologies; planned and agile development processes, processes of Service-Oriented Architecture; component-based, Web-based, mobile based, event programming, wireless, user interface, and database access technologies.",No prerequisites,CMPE 202 or CMPE 220 or instructor consent. Computer Engineering and Software Engineering majors only.,Letter Graded,No additional notes,"Title: CMPE 285 - Software Engineering Processes; description: Software system development with emerging software engineering processes and technologies; planned and agile development processes, processes of Service-Oriented Architecture; component-based, Web-based, mobile based, event programming, wireless, user interface, and database access technologies.; units: 3 unit(s); prereqs: No prerequisites; coreqs: CMPE 202 or CMPE 220 or instructor consent. Computer Engineering and Software Engineering majors only.; grading_type: Letter Graded"
CMPE 286 - Internet of Things,3 unit(s),"Designed to give an overview of Internet of Things (IoT) as well as associated foundations including model layers, key performance characteristics, key requirements for communication over the Internet, sensing technologies, constrained devices, protocol stacks, and the IoT service platform.",MSSE graduate standing or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 286 - Internet of Things; description: Designed to give an overview of Internet of Things (IoT) as well as associated foundations including model layers, key performance characteristics, key requirements for communication over the Internet, sensing technologies, constrained devices, protocol stacks, and the IoT service platform.; units: 3 unit(s); prereqs: MSSE graduate standing or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 287 - Software Quality Assurance and Testing,3 unit(s),"Software testing concepts, processes, models, criteria, and methods; software unit testing, integration, function validation, system performance measurement, and reliability evaluation; software security testing methods, assurance criteria, and validation tools; software security assurance process, standards, techniques, and case study.",No prerequisites,CMPE 202 or CMPE 220 or instructor consent. Computer Engineering and Software Engineering majors only.,Letter Graded,No additional notes,"Title: CMPE 287 - Software Quality Assurance and Testing; description: Software testing concepts, processes, models, criteria, and methods; software unit testing, integration, function validation, system performance measurement, and reliability evaluation; software security testing methods, assurance criteria, and validation tools; software security assurance process, standards, techniques, and case study.; units: 3 unit(s); prereqs: No prerequisites; coreqs: CMPE 202 or CMPE 220 or instructor consent. Computer Engineering and Software Engineering majors only.; grading_type: Letter Graded"
CMPE 292 - International Program Studies,1-9 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",No prerequisites,No corequisites,Mixed Grading,No additional notes,"Title: CMPE 292 - International Program Studies; description: Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.; units: 1-9 unit(s); prereqs: No prerequisites; coreqs: No corequisites; grading_type: Mixed Grading"
CMPE 294 - Computer Engineering Seminar,3 unit(s),"Provides graduate students with a background to conduct research, write proposals and present results in oral and written form. Satisfies GWAR: Graduation Writing Assessment Requirement.",Instructor consent.,No corequisites,Letter Graded,This course satisfies graduate-level GWAR in this masters program.,"Title: CMPE 294 - Computer Engineering Seminar; description: Provides graduate students with a background to conduct research, write proposals and present results in oral and written form. Satisfies GWAR: Graduation Writing Assessment Requirement.; units: 3 unit(s); prereqs: Instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 294A - Cyber Security Seminar,3 unit(s),Provides graduate students with the background and capability to conduct research and write technical reports in the area of cyber security,Instructor consent,No corequisites,Letter Graded,No additional notes,Title: CMPE 294A - Cyber Security Seminar; description: Provides graduate students with the background and capability to conduct research and write technical reports in the area of cyber security; units: 3 unit(s); prereqs: Instructor consent; coreqs: No corequisites; grading_type: Letter Graded
CMPE 295A - Master Project I,3 unit(s),"Comprehensive plan and preliminary design of a computer/software engineering project; integration of knowledge in technologies, processes and management to support program outcomes. Lab 9 hours.","Classified status, good standing, completion of at least 15 units of graduation degree credit, completion of two degree core courses and at least one specialization course, and graduate director consent.",No corequisites,Letter Graded,No additional notes,"Title: CMPE 295A - Master Project I; description: Comprehensive plan and preliminary design of a computer/software engineering project; integration of knowledge in technologies, processes and management to support program outcomes. Lab 9 hours.; units: 3 unit(s); prereqs: Classified status, good standing, completion of at least 15 units of graduation degree credit, completion of two degree core courses and at least one specialization course, and graduate director consent.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 295B - Master Project II,3 unit(s),Completion of an in-depth project to achieve the program outcomes and satisfy the cumulating experience; write a detailed project report; make a comprehensive presentation and demonstration. Lab 9 hours.,"CMPE 295A (with a B or better) or CMPE 295W (with a B or better), completion of all degree core courses and two specialization courses from the same specialization, advancement to candidacy, and graduate director consent.",No corequisites,Letter Graded,No additional notes,"Title: CMPE 295B - Master Project II; description: Completion of an in-depth project to achieve the program outcomes and satisfy the cumulating experience; write a detailed project report; make a comprehensive presentation and demonstration. Lab 9 hours.; units: 3 unit(s); prereqs: CMPE 295A (with a B or better) or CMPE 295W (with a B or better), completion of all degree core courses and two specialization courses from the same specialization, advancement to candidacy, and graduate director consent.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 295W - Masters Project,3 unit(s),"In-depth developmental engineering work relating to problems of interest. Project includes proposal formulation, analysis, design, implementation, and testing. 9 hours lab.Satisfies GWAR: Graduation Writing Assessment Requirement.","Completed degree and specialization core requirements, classified status, in good standing and graduate advisor consent.",No corequisites,Letter Graded,This course satisfies graduate-level GWAR in this masters program.,"Title: CMPE 295W - Masters Project; description: In-depth developmental engineering work relating to problems of interest. Project includes proposal formulation, analysis, design, implementation, and testing. 9 hours lab.Satisfies GWAR: Graduation Writing Assessment Requirement.; units: 3 unit(s); prereqs: Completed degree and specialization core requirements, classified status, in good standing and graduate advisor consent.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 297 - Special Topics in Computer/Software Engineering,3 unit(s),Special topics to augment regularly-scheduled graduate courses. May be taken up to three times in different topic areas. Course is repeatable for up to 9 units.,Instructor consent.,No corequisites,Letter Graded,No additional notes,Title: CMPE 297 - Special Topics in Computer/Software Engineering; description: Special topics to augment regularly-scheduled graduate courses. May be taken up to three times in different topic areas. Course is repeatable for up to 9 units.; units: 3 unit(s); prereqs: Instructor consent.; coreqs: No corequisites; grading_type: Letter Graded
CS 22A - Python for Everyone,3 unit(s),"Introduction to Python programming in interesting, relevant, and practical contexts. Programming skills are developed to solve problems in such fields as life sciences, mathematics, and business. Fundamental programming constructs: data structures and algorithms, iterations, and functions. Course is intended for students who have no prior programming experience. Satisfies B4: Mathematics/Quantitative Reasoning.",No prerequisites,CS 1022AS is required for Math Enrollment Category M-III and M-IV.,Letter Graded,No additional notes,"Title: CS 22A - Python for Everyone; description: Introduction to Python programming in interesting, relevant, and practical contexts. Programming skills are developed to solve problems in such fields as life sciences, mathematics, and business. Fundamental programming constructs: data structures and algorithms, iterations, and functions. Course is intended for students who have no prior programming experience. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: No prerequisites; coreqs: CS 1022AS is required for Math Enrollment Category M-III and M-IV.; grading_type: Letter Graded"
CS 22B - Python Programming for Data Analysis,3 unit(s),"Hands-on Python programming skills for data analysis. Skills include finding a solution for a given problem and casting it as an algorithm, translating an algorithm to executable code, and debugging and testing code. Applications focus on computational techniques to understand, analyze, and visualize data.","CS 22A with a grade of C- or better, or consent of the instructor; Allowed Majors: Data Science, Biology (all) or Chemistry (all).",No corequisites,Letter Graded,No additional notes,"Title: CS 22B - Python Programming for Data Analysis; description: Hands-on Python programming skills for data analysis. Skills include finding a solution for a given problem and casting it as an algorithm, translating an algorithm to executable code, and debugging and testing code. Applications focus on computational techniques to understand, analyze, and visualize data.; units: 3 unit(s); prereqs: CS 22A with a grade of C- or better, or consent of the instructor; Allowed Majors: Data Science, Biology (all) or Chemistry (all).; coreqs: No corequisites; grading_type: Letter Graded"
CS 25 - The Digital World and Society,3 unit(s),"The secure, effective and ethical use of information technology. The effect of such technology on people and institutions. Technology-related challenges to society and policy. Frameworks for the analysis of information technology with respect to its cultural, historical, environmental, and spatial contexts. Satisfies D: Social Sciences (formerly GE Area D1).",No prerequisites,No corequisites,Letter Graded Cross-listed with ENGR 25 . General Engineering is responsible for scheduling.,No additional notes,"Title: CS 25 - The Digital World and Society; description: The secure, effective and ethical use of information technology. The effect of such technology on people and institutions. Technology-related challenges to society and policy. Frameworks for the analysis of information technology with respect to its cultural, historical, environmental, and spatial contexts. Satisfies D: Social Sciences (formerly GE Area D1).; units: 3 unit(s); prereqs: No prerequisites; coreqs: No corequisites; grading_type: Letter Graded Cross-listed with ENGR 25 . General Engineering is responsible for scheduling."
CS 42 - Discrete Mathematics,3 unit(s),"Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.","Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of B or better to waive the exam; or MATH 18A and MATH 18B , with a grade of B or better in each to waive the exam.",No corequisites,Letter Graded,Students who are repeating MATH 42 and MATH 42X are not eligible for this class and must take MATH 42X . Cross-listed with MATH 42 . Mathematics and Statistics is responsible for scheduling.,"Title: CS 42 - Discrete Mathematics; description: Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.; units: 3 unit(s); prereqs: Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of B or better to waive the exam; or MATH 18A and MATH 18B , with a grade of B or better in each to waive the exam.; coreqs: No corequisites; grading_type: Letter Graded"
CS 42X - Discrete Mathematics,3 unit(s),"Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.","Math Enrollment Category M-I, M-II, M-III and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of C- or better to waive the exam; or MATH 18A and MATH 18B with a grade of C- or better in each to waive the exam.",MATH 42W .,Letter Graded Cross-listed with MATH 42X . Mathematics and Statistics is responsible for scheduling.,No additional notes,"Title: CS 42X - Discrete Mathematics; description: Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.; units: 3 unit(s); prereqs: Math Enrollment Category M-I, M-II, M-III and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of C- or better to waive the exam; or MATH 18A and MATH 18B with a grade of C- or better in each to waive the exam.; coreqs: MATH 42W .; grading_type: Letter Graded Cross-listed with MATH 42X . Mathematics and Statistics is responsible for scheduling."
CS 46A - Introduction to Programming,4 unit(s),"Introduction to programming for anyone new to the field or who needs a refresher with basic Java programming syntax, object-oriented paradigm, control structures, iteration, etc. Hands-on activities in writing, compiling, executing, and debugging programs for solving real-world problems. Lecture 3 hours/lab 3 hours.","Math Enrollment Category M-I, M-II, or M-III, or MATH 1 with a grade of C- or better; and a major of Computer Science, Data Science, Computer Science and Linguistics, Mathematics, Statistics, Applied and Computational Math, Software Engineering, Forensic Science: Digital Evidence, or Undeclared; or instructor consent.",No corequisites,Letter Graded,No additional notes,"Title: CS 46A - Introduction to Programming; description: Introduction to programming for anyone new to the field or who needs a refresher with basic Java programming syntax, object-oriented paradigm, control structures, iteration, etc. Hands-on activities in writing, compiling, executing, and debugging programs for solving real-world problems. Lecture 3 hours/lab 3 hours.; units: 4 unit(s); prereqs: Math Enrollment Category M-I, M-II, or M-III, or MATH 1 with a grade of C- or better; and a major of Computer Science, Data Science, Computer Science and Linguistics, Mathematics, Statistics, Applied and Computational Math, Software Engineering, Forensic Science: Digital Evidence, or Undeclared; or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
CS 46AW - Introduction to Programming Workshop,1 unit(s),Designed to help all students excel in Introduction to Programming. Students work in groups on challenging problems to help them understand programming concepts more deeply and lay the groundwork for success in future courses. Repeatable for a total of 2 units.,"CS 46A (in an object-oriented language) or CS 46AX , or current enrollment in CS 46AX .",No corequisites,Credit/No Credit.,No additional notes,"Title: CS 46AW - Introduction to Programming Workshop; description: Designed to help all students excel in Introduction to Programming. Students work in groups on challenging problems to help them understand programming concepts more deeply and lay the groundwork for success in future courses. Repeatable for a total of 2 units.; units: 1 unit(s); prereqs: CS 46A (in an object-oriented language) or CS 46AX , or current enrollment in CS 46AX .; coreqs: No corequisites; grading_type: Credit/No Credit."
CS 46AX - Introduction to Programming,4 unit(s),"Introduction to programming for anyone new to the field or who needs a refresher with basic Java programming syntax, object-oriented paradigm, control structures, iteration, etc. Hands-on activities in writing, compiling, executing, and debugging programs for solving real-world problems.","Math Enrollment Category M-I, M-II, or M-III, or MATH 1 with a grade of C- or better; and a major of Computer Science, Data Science, Computer Science and Linguistics, Mathematics, Statistics, Applied and Computational Math, Software Engineering, Forensic Science: Digital Evidence, or Undeclared; or instructor consent.",CS 46AW .,Letter Graded.,No additional notes,"Title: CS 46AX - Introduction to Programming; description: Introduction to programming for anyone new to the field or who needs a refresher with basic Java programming syntax, object-oriented paradigm, control structures, iteration, etc. Hands-on activities in writing, compiling, executing, and debugging programs for solving real-world problems.; units: 4 unit(s); prereqs: Math Enrollment Category M-I, M-II, or M-III, or MATH 1 with a grade of C- or better; and a major of Computer Science, Data Science, Computer Science and Linguistics, Mathematics, Statistics, Applied and Computational Math, Software Engineering, Forensic Science: Digital Evidence, or Undeclared; or instructor consent.; coreqs: CS 46AW .; grading_type: Letter Graded."
CS 46B - Introduction to Data Structures,4 unit(s),"Fundamental data structures including lists, stacks, queues, and trees, with algorithms for inserting, deleting, searching, and sorting information within them efficiently. Additional topics include Big-O analysis, exceptions, hashing, Java collections framework, generics, iterators, interfaces, recursion, and debugging. Weekly hands-on activities. Lecture 3 hours/lab 3 hours.","CS 46A or CS 46AX (with grade of C- or better). (If CS 46A was not in Java, then CS 46AW also required.) Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment (70 or higher), or MATH 19 with a C- or better, or MATH 18A and MATH 18B with C- or better; Allowed Majors: Computer Science, Data Science, Stats, Applied/Computational Math, Software Engineering or Forensic Science: Digital Evidence.",No corequisites,Letter Graded,No additional notes,"Title: CS 46B - Introduction to Data Structures; description: Fundamental data structures including lists, stacks, queues, and trees, with algorithms for inserting, deleting, searching, and sorting information within them efficiently. Additional topics include Big-O analysis, exceptions, hashing, Java collections framework, generics, iterators, interfaces, recursion, and debugging. Weekly hands-on activities. Lecture 3 hours/lab 3 hours.; units: 4 unit(s); prereqs: CS 46A or CS 46AX (with grade of C- or better). (If CS 46A was not in Java, then CS 46AW also required.) Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment (70 or higher), or MATH 19 with a C- or better, or MATH 18A and MATH 18B with C- or better; Allowed Majors: Computer Science, Data Science, Stats, Applied/Computational Math, Software Engineering or Forensic Science: Digital Evidence.; coreqs: No corequisites; grading_type: Letter Graded"
CS 47 - Introduction to Computer Systems,3 unit(s),"Instruction sets, assembly language and assemblers, linkers and loaders, data representation and manipulation, interrupts, pointers, function calls, argument passing, and basic gate-level digital logic design.","CS 42 / MATH 42 orCS 42X / MATH 42X , and CS 46B (with a grade of C- or better); Allowed Majors: Computer Science, Data Science or Forensic Science: Digital Evidence.",No corequisites,Letter Graded,No additional notes,"Title: CS 47 - Introduction to Computer Systems; description: Instruction sets, assembly language and assemblers, linkers and loaders, data representation and manipulation, interrupts, pointers, function calls, argument passing, and basic gate-level digital logic design.; units: 3 unit(s); prereqs: CS 42 / MATH 42 orCS 42X / MATH 42X , and CS 46B (with a grade of C- or better); Allowed Majors: Computer Science, Data Science or Forensic Science: Digital Evidence.; coreqs: No corequisites; grading_type: Letter Graded"
